순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
16,김광현,SSG,5.0,28,10,10,0,0,0.500,144,164,13,50,4,138,86,80,1.49,0,0,9,0,636,2453,0.286,28,1,5,3,1,6,0,28,10,0,0,0,0,15,149,126,1.18,0.354,87.6,17.0,8.63,3.13,2.76,0.345,0.406,0.751
17,문승원,SSG,5.13,23,4,7,0,0,0.364,105 1/3,109,16,38,5,61,61,60,1.4,0,0,5,0,452,1783,0.273,23,3,6,4,0,4,0,21,4,0,0,0,0,13,105,128,0.82,0.285,77.5,16.9,5.21,3.25,1.61,0.341,0.466,0.807
18,송영진,SSG,5.83,21,2,5,0,0,0.286,63 1/3,77,10,31,3,40,45,41,1.71,0,0,1,0,288,1070,0.312,5,1,3,4,1,2,0,8,2,0,2,0,0,12,72,62,1.16,0.333,51.0,16.9,5.68,4.41,1.29,0.389,0.462,0.851
19,최현석,SSG,6.23,13,0,0,0,0,-,17 1/3,21,5,6,2,11,13,12,1.56,0,0,0,0,77,290,0.304,2,0,0,0,0,1,0,0,0,0,8,0,0,2,25,12,2.08,0.302,22.3,16.7,5.71,3.12,1.83,0.377,0.551,0.928
20,서진용,SSG,6.75,2,0,0,0,0,-,1 1/3,1,0,3,0,0,1,1,3.0,0,0,0,0,7,27,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0.5,0.25,13.5,20.3,0.0,20.25,0.00,0.571,0.25,0.821
21,박종훈,SSG,7.11,5,0,2,0,0,0.000,19,15,4,18,5,10,17,15,1.74,0,0,1,0,90,370,0.231,1,0,1,1,0,0,0,5,0,0,0,0,0,4,24,17,1.41,0.212,74.0,19.5,4.74,8.53,0.56,0.427,0.431,0.858
22,정동윤,SSG,8.31,12,0,0,0,0,-,17 1/3,21,2,12,0,17,16,16,1.9,0,0,0,0,82,317,0.309,6,0,1,1,0,1,0,0,0,0,7,0,0,2,17,14,1.21,0.38,26.4,18.3,8.83,6.23,1.42,0.407,0.485,0.892
1,김대우,삼성,0.0,2,0,0,0,1,-,2/3,1,0,0,0,0,0,0,1.5,0,0,0,0,3,16,0.333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.0,0.333,8.0,24.0,0.0,0.0,-,0.333,0.667,1.0
1,양현,삼성,0.0,4,0,0,0,0,-,3 1/3,2,0,3,0,1,0,0,1.5,0,0,0,1,15,65,0.167,0,0,0,0,0,0,0,0,0,0,3,1,0,0,7,2,3.5,0.182,16.3,19.5,2.7,8.1,0.33,0.333,0.167,0.5
1,이상민,삼성,0.0,1,0,0,0,0,-,1,2,0,0,0,1,0,0,2.0,0,0,0,0,5,12,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.0,0.5,12.0,12.0,9.0,0.0,-,0.4,0.4,0.8
